C:\Users\hjjh2\anaconda3\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
C:\Users\hjjh2\anaconda3\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
2023-03-09 17:42:12,201 - STREAM b'IHDR' 16 13
2023-03-09 17:42:12,201 - STREAM b'IDAT' 41 21069
2023-03-09 17:42:12,213 - STREAM b'IHDR' 16 13
2023-03-09 17:42:12,214 - STREAM b'pHYs' 41 9
2023-03-09 17:42:12,215 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:12,240 - STREAM b'IHDR' 16 13
2023-03-09 17:42:12,241 - STREAM b'IDAT' 41 18953
2023-03-09 17:42:12,270 - STREAM b'IHDR' 16 13
2023-03-09 17:42:12,270 - STREAM b'pHYs' 41 9
2023-03-09 17:42:12,271 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:12,305 - STREAM b'IHDR' 16 13
2023-03-09 17:42:12,306 - STREAM b'IDAT' 41 19883
2023-03-09 17:42:12,333 - STREAM b'IHDR' 16 13
2023-03-09 17:42:12,333 - STREAM b'pHYs' 41 9
2023-03-09 17:42:12,334 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:12,364 - STREAM b'IHDR' 16 13
2023-03-09 17:42:12,365 - STREAM b'IDAT' 41 16864
2023-03-09 17:42:12,378 - STREAM b'IHDR' 16 13
2023-03-09 17:42:12,379 - STREAM b'pHYs' 41 9
2023-03-09 17:42:12,379 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:13,417 -  [LOSS]] : 3.7521679401397705
2023-03-09 17:42:13,418 - STREAM b'IHDR' 16 13
2023-03-09 17:42:13,418 - STREAM b'IDAT' 41 18751
2023-03-09 17:42:13,431 - STREAM b'IHDR' 16 13
2023-03-09 17:42:13,432 - STREAM b'pHYs' 41 9
2023-03-09 17:42:13,432 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:13,460 - STREAM b'IHDR' 16 13
2023-03-09 17:42:13,461 - STREAM b'IDAT' 41 19653
2023-03-09 17:42:13,471 - STREAM b'IHDR' 16 13
2023-03-09 17:42:13,472 - STREAM b'pHYs' 41 9
2023-03-09 17:42:13,472 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:13,501 - STREAM b'IHDR' 16 13
2023-03-09 17:42:13,502 - STREAM b'IDAT' 41 18626
2023-03-09 17:42:13,514 - STREAM b'IHDR' 16 13
2023-03-09 17:42:13,515 - STREAM b'pHYs' 41 9
2023-03-09 17:42:13,515 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:13,543 - STREAM b'IHDR' 16 13
2023-03-09 17:42:13,544 - STREAM b'IDAT' 41 18955
2023-03-09 17:42:13,555 - STREAM b'IHDR' 16 13
2023-03-09 17:42:13,556 - STREAM b'pHYs' 41 9
2023-03-09 17:42:13,556 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:13,971 - STREAM b'IHDR' 16 13
2023-03-09 17:42:13,972 - STREAM b'IDAT' 41 18937
2023-03-09 17:42:13,983 - STREAM b'IHDR' 16 13
2023-03-09 17:42:13,984 - STREAM b'pHYs' 41 9
2023-03-09 17:42:13,985 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:14,013 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,013 - STREAM b'IDAT' 41 19533
2023-03-09 17:42:14,027 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,028 - STREAM b'pHYs' 41 9
2023-03-09 17:42:14,029 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:14,056 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,057 - STREAM b'IDAT' 41 18284
2023-03-09 17:42:14,069 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,069 - STREAM b'pHYs' 41 9
2023-03-09 17:42:14,070 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:14,096 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,097 - STREAM b'IDAT' 41 18220
2023-03-09 17:42:14,108 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,109 - STREAM b'pHYs' 41 9
2023-03-09 17:42:14,109 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:14,601 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,602 - STREAM b'IDAT' 41 17233
2023-03-09 17:42:14,617 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,618 - STREAM b'pHYs' 41 9
2023-03-09 17:42:14,619 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:14,650 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,650 - STREAM b'IDAT' 41 22709
2023-03-09 17:42:14,663 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,664 - STREAM b'pHYs' 41 9
2023-03-09 17:42:14,665 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:14,696 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,697 - STREAM b'IDAT' 41 19810
2023-03-09 17:42:14,710 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,711 - STREAM b'pHYs' 41 9
2023-03-09 17:42:14,711 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:14,739 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,740 - STREAM b'IDAT' 41 18351
2023-03-09 17:42:14,753 - STREAM b'IHDR' 16 13
2023-03-09 17:42:14,754 - STREAM b'pHYs' 41 9
2023-03-09 17:42:14,754 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:15,316 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,317 - STREAM b'IDAT' 41 19351
2023-03-09 17:42:15,329 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,330 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,330 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:15,374 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,375 - STREAM b'IDAT' 41 17299
2023-03-09 17:42:15,395 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,396 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,397 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:15,427 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,428 - STREAM b'IDAT' 41 17863
2023-03-09 17:42:15,439 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,440 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,440 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:15,470 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,471 - STREAM b'IDAT' 41 20742
2023-03-09 17:42:15,482 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,483 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,484 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:15,929 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,930 - STREAM b'IDAT' 41 24050
2023-03-09 17:42:15,944 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,945 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,945 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:15,971 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,971 - STREAM b'IDAT' 41 17269
2023-03-09 17:42:15,983 - STREAM b'IHDR' 16 13
2023-03-09 17:42:15,983 - STREAM b'pHYs' 41 9
2023-03-09 17:42:15,984 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:16,012 - STREAM b'IHDR' 16 13
2023-03-09 17:42:16,012 - STREAM b'IDAT' 41 16902
