2023-05-31 22:30:30,970 - Namespace(batch_size=4, epochs=10, learning_rate=0.001, print_freq=1, project_name='Project1')
2023-05-31 22:30:37,356 -  [LOSS]] : 28.494016647338867 | [ACC]:900.0
2023-05-31 22:30:37,661 -  [LOSS]] : 31.021942138671875 | [ACC]:900.0
2023-05-31 22:30:37,970 -  [LOSS]] : 32.96657180786133 | [ACC]:900.0
2023-05-31 22:30:38,276 -  [LOSS]] : 32.739173889160156 | [ACC]:900.0
2023-05-31 22:30:38,585 -  [LOSS]] : 30.54825782775879 | [ACC]:900.0
2023-05-31 22:30:38,893 -  [LOSS]] : 31.94650650024414 | [ACC]:900.0
2023-05-31 22:30:39,219 -  [LOSS]] : 32.89105224609375 | [ACC]:900.0
2023-05-31 22:30:39,531 -  [LOSS]] : 38.33683395385742 | [ACC]:900.0
2023-05-31 22:30:39,843 -  [LOSS]] : 39.47865676879883 | [ACC]:900.0
2023-05-31 22:30:40,164 -  [LOSS]] : 37.911800384521484 | [ACC]:900.0
2023-05-31 22:30:40,481 -  [LOSS]] : 41.83381271362305 | [ACC]:900.0
2023-05-31 22:30:40,786 -  [LOSS]] : 41.144535064697266 | [ACC]:900.0
2023-05-31 22:30:41,098 -  [LOSS]] : 42.92900466918945 | [ACC]:900.0
2023-05-31 22:30:41,417 -  [LOSS]] : 42.37853240966797 | [ACC]:900.0
2023-05-31 22:30:41,698 -  [LOSS]] : 36.741886138916016 | [ACC]:900.0
2023-05-31 22:30:42,007 -  [LOSS]] : 38.90327453613281 | [ACC]:900.0
2023-05-31 22:30:42,324 -  [LOSS]] : 40.82826232910156 | [ACC]:900.0
2023-05-31 22:30:42,649 -  [LOSS]] : 34.30923843383789 | [ACC]:900.0
2023-05-31 22:30:42,952 -  [LOSS]] : 31.308504104614258 | [ACC]:900.0
2023-05-31 22:30:43,254 -  [LOSS]] : 36.08759689331055 | [ACC]:900.0
2023-05-31 22:30:43,560 -  [LOSS]] : 42.5563850402832 | [ACC]:900.0
2023-05-31 22:30:43,877 -  [LOSS]] : 39.60238265991211 | [ACC]:900.0
2023-05-31 22:30:44,209 -  [LOSS]] : 40.449974060058594 | [ACC]:900.0
2023-05-31 22:30:44,522 -  [LOSS]] : 39.71393585205078 | [ACC]:900.0
2023-05-31 22:30:44,809 -  [LOSS]] : 45.657562255859375 | [ACC]:900.0
2023-05-31 22:30:45,129 -  [LOSS]] : 40.98320007324219 | [ACC]:900.0
2023-05-31 22:30:45,450 -  [LOSS]] : 48.17963409423828 | [ACC]:900.0
2023-05-31 22:30:45,772 -  [LOSS]] : 52.62398147583008 | [ACC]:900.0
2023-05-31 22:30:46,089 -  [LOSS]] : 55.68175506591797 | [ACC]:900.0
2023-05-31 22:30:46,387 -  [LOSS]] : 49.33558654785156 | [ACC]:900.0
2023-05-31 22:30:46,700 -  [LOSS]] : 50.753936767578125 | [ACC]:900.0
2023-05-31 22:30:47,015 -  [LOSS]] : 41.34639358520508 | [ACC]:900.0
2023-05-31 22:30:47,327 -  [LOSS]] : 56.27360534667969 | [ACC]:900.0
2023-05-31 22:30:47,631 -  [LOSS]] : 54.644248962402344 | [ACC]:900.0
2023-05-31 22:30:47,942 -  [LOSS]] : 58.04832077026367 | [ACC]:900.0
2023-05-31 22:30:48,249 -  [LOSS]] : 58.09895324707031 | [ACC]:900.0
2023-05-31 22:30:48,560 -  [LOSS]] : 46.03554916381836 | [ACC]:900.0
2023-05-31 22:30:48,886 -  [LOSS]] : 59.95140838623047 | [ACC]:900.0
2023-05-31 22:30:49,211 -  [LOSS]] : 52.840572357177734 | [ACC]:900.0
2023-05-31 22:30:49,513 -  [LOSS]] : 65.38990020751953 | [ACC]:900.0
2023-05-31 22:30:49,822 -  [LOSS]] : 65.66842651367188 | [ACC]:900.0
2023-05-31 22:30:50,141 -  [LOSS]] : 79.94525146484375 | [ACC]:900.0
2023-05-31 22:30:50,446 -  [LOSS]] : 50.3465690612793 | [ACC]:900.0
2023-05-31 22:30:50,762 -  [LOSS]] : 57.680213928222656 | [ACC]:900.0
2023-05-31 22:30:51,069 -  [LOSS]] : 41.218868255615234 | [ACC]:900.0
2023-05-31 22:30:51,382 -  [LOSS]] : 39.63197326660156 | [ACC]:900.0
2023-05-31 22:30:51,688 -  [LOSS]] : 60.85450744628906 | [ACC]:900.0
2023-05-31 22:30:51,997 -  [LOSS]] : 54.491859436035156 | [ACC]:900.0
2023-05-31 22:30:52,311 -  [LOSS]] : 59.60542678833008 | [ACC]:900.0
2023-05-31 22:30:52,646 -  [LOSS]] : 49.0260124206543 | [ACC]:900.0
2023-05-31 22:30:52,957 -  [LOSS]] : 46.30982208251953 | [ACC]:900.0
2023-05-31 22:30:53,272 -  [LOSS]] : 43.51649856567383 | [ACC]:900.0
2023-05-31 22:30:53,586 -  [LOSS]] : 54.129249572753906 | [ACC]:900.0
2023-05-31 22:30:53,905 -  [LOSS]] : 54.88444900512695 | [ACC]:900.0
2023-05-31 22:30:54,209 -  [LOSS]] : 49.682979583740234 | [ACC]:900.0
2023-05-31 22:30:54,528 -  [LOSS]] : 64.97161102294922 | [ACC]:900.0
2023-05-31 22:30:54,847 -  [LOSS]] : 54.260093688964844 | [ACC]:900.0
2023-05-31 22:30:55,161 -  [LOSS]] : 57.942562103271484 | [ACC]:900.0
2023-05-31 22:30:55,478 -  [LOSS]] : 37.61437225341797 | [ACC]:900.0
2023-05-31 22:30:55,791 -  [LOSS]] : 52.41040802001953 | [ACC]:900.0
2023-05-31 22:30:56,150 -  [LOSS]] : 40.74888610839844 | [ACC]:900.0
2023-05-31 22:30:56,470 -  [LOSS]] : 51.12297058105469 | [ACC]:900.0
2023-05-31 22:30:56,778 -  [LOSS]] : 49.273048400878906 | [ACC]:900.0
2023-05-31 22:30:57,103 -  [LOSS]] : 43.48723602294922 | [ACC]:900.0
2023-05-31 22:30:57,431 -  [LOSS]] : 46.40828323364258 | [ACC]:900.0
2023-05-31 22:30:57,755 -  [LOSS]] : 57.02481460571289 | [ACC]:900.0
2023-05-31 22:30:58,082 -  [LOSS]] : 57.03410339355469 | [ACC]:900.0
2023-05-31 22:30:58,385 -  [LOSS]] : 58.43101501464844 | [ACC]:900.0
2023-05-31 22:30:58,684 -  [LOSS]] : 60.516448974609375 | [ACC]:900.0
2023-05-31 22:30:59,010 -  [LOSS]] : 51.66777038574219 | [ACC]:900.0
2023-05-31 22:30:59,314 -  [LOSS]] : 52.892860412597656 | [ACC]:900.0
2023-05-31 22:30:59,629 -  [LOSS]] : 66.93981170654297 | [ACC]:900.0
2023-05-31 22:30:59,945 -  [LOSS]] : 53.28015899658203 | [ACC]:900.0
2023-05-31 22:31:00,270 -  [LOSS]] : 49.388999938964844 | [ACC]:900.0
2023-05-31 22:31:00,583 -  [LOSS]] : 41.40830993652344 | [ACC]:900.0
2023-05-31 22:31:00,916 -  [LOSS]] : 59.01827621459961 | [ACC]:900.0
2023-05-31 22:31:01,215 -  [LOSS]] : 40.6083984375 | [ACC]:900.0
2023-05-31 22:31:01,546 -  [LOSS]] : 42.81969451904297 | [ACC]:900.0
2023-05-31 22:31:01,864 -  [LOSS]] : 48.950645446777344 | [ACC]:900.0
2023-05-31 22:31:02,184 -  [LOSS]] : 75.46353912353516 | [ACC]:900.0
2023-05-31 22:31:02,494 -  [LOSS]] : 51.08216857910156 | [ACC]:900.0
2023-05-31 22:31:02,825 -  [LOSS]] : 65.25756072998047 | [ACC]:900.0
2023-05-31 22:31:03,142 -  [LOSS]] : 42.911006927490234 | [ACC]:900.0
2023-05-31 22:31:03,457 -  [LOSS]] : 59.93498611450195 | [ACC]:900.0
2023-05-31 22:31:03,773 -  [LOSS]] : 38.73988723754883 | [ACC]:900.0
2023-05-31 22:31:04,093 -  [LOSS]] : 32.92021942138672 | [ACC]:900.0
2023-05-31 22:31:04,406 -  [LOSS]] : 50.390708923339844 | [ACC]:900.0
2023-05-31 22:31:04,729 -  [LOSS]] : 40.227752685546875 | [ACC]:900.0
2023-05-31 22:31:05,048 -  [LOSS]] : 46.49758529663086 | [ACC]:900.0
2023-05-31 22:31:05,385 -  [LOSS]] : 52.11528778076172 | [ACC]:900.0
2023-05-31 22:31:05,771 -  [LOSS]] : 49.742794036865234 | [ACC]:900.0
2023-05-31 22:31:06,171 -  [LOSS]] : 46.94175338745117 | [ACC]:900.0
2023-05-31 22:31:06,588 -  [LOSS]] : 60.98291015625 | [ACC]:900.0
2023-05-31 22:31:06,985 -  [LOSS]] : 45.18669509887695 | [ACC]:900.0
2023-05-31 22:31:07,373 -  [LOSS]] : 31.451841354370117 | [ACC]:900.0
2023-05-31 22:31:07,853 -  [LOSS]] : 44.891502380371094 | [ACC]:900.0
2023-05-31 22:31:08,201 -  [LOSS]] : 33.46086120605469 | [ACC]:900.0
2023-05-31 22:31:08,520 -  [LOSS]] : 30.75502586364746 | [ACC]:900.0
2023-05-31 22:31:08,863 -  [LOSS]] : 32.91684341430664 | [ACC]:900.0
2023-05-31 22:31:09,199 -  [LOSS]] : 34.70930862426758 | [ACC]:900.0
2023-05-31 22:31:09,536 -  [LOSS]] : 30.947105407714844 | [ACC]:900.0
2023-05-31 22:31:09,870 -  [LOSS]] : 34.41622543334961 | [ACC]:900.0
2023-05-31 22:31:10,215 -  [LOSS]] : 41.93216323852539 | [ACC]:900.0
2023-05-31 22:31:10,571 -  [LOSS]] : 30.90624237060547 | [ACC]:900.0
2023-05-31 22:31:10,911 -  [LOSS]] : 35.900978088378906 | [ACC]:900.0
2023-05-31 22:31:11,270 -  [LOSS]] : 29.33827018737793 | [ACC]:900.0
2023-05-31 22:31:11,654 -  [LOSS]] : 32.36024475097656 | [ACC]:900.0
2023-05-31 22:31:12,065 -  [LOSS]] : 28.57843780517578 | [ACC]:900.0
2023-05-31 22:31:12,424 -  [LOSS]] : 34.88368225097656 | [ACC]:900.0
2023-05-31 22:31:12,778 -  [LOSS]] : 32.65614700317383 | [ACC]:900.0
2023-05-31 22:31:13,196 -  [LOSS]] : 39.443416595458984 | [ACC]:900.0
2023-05-31 22:31:13,522 -  [LOSS]] : 30.63692855834961 | [ACC]:900.0
2023-05-31 22:31:13,842 -  [LOSS]] : 29.038463592529297 | [ACC]:900.0
2023-05-31 22:31:14,158 -  [LOSS]] : 34.99467086791992 | [ACC]:900.0
2023-05-31 22:31:14,483 -  [LOSS]] : 35.40538024902344 | [ACC]:900.0
2023-05-31 22:31:14,823 -  [LOSS]] : 31.86548614501953 | [ACC]:900.0
2023-05-31 22:31:15,161 -  [LOSS]] : 27.478300094604492 | [ACC]:900.0
2023-05-31 22:31:15,487 -  [LOSS]] : 29.609588623046875 | [ACC]:900.0
2023-05-31 22:31:15,812 -  [LOSS]] : 30.527912139892578 | [ACC]:900.0
2023-05-31 22:31:16,144 -  [LOSS]] : 30.949947357177734 | [ACC]:900.0
2023-05-31 22:31:16,484 -  [LOSS]] : 30.14706802368164 | [ACC]:900.0
2023-05-31 22:31:16,826 -  [LOSS]] : 29.548004150390625 | [ACC]:900.0
2023-05-31 22:31:17,183 -  [LOSS]] : 28.942855834960938 | [ACC]:900.0
2023-05-31 22:31:17,554 -  [LOSS]] : 27.637727737426758 | [ACC]:900.0
2023-05-31 22:31:17,898 -  [LOSS]] : 27.889320373535156 | [ACC]:900.0
2023-05-31 22:31:18,255 -  [LOSS]] : 28.104324340820312 | [ACC]:900.0
2023-05-31 22:31:18,695 -  [LOSS]] : 27.027973175048828 | [ACC]:900.0
2023-05-31 22:31:19,069 -  [LOSS]] : 26.323877334594727 | [ACC]:900.0
2023-05-31 22:31:19,411 -  [LOSS]] : 26.807161331176758 | [ACC]:900.0
2023-05-31 22:31:19,748 -  [LOSS]] : 26.31778335571289 | [ACC]:900.0
2023-05-31 22:31:20,084 -  [LOSS]] : 28.45068359375 | [ACC]:900.0
2023-05-31 22:31:20,420 -  [LOSS]] : 26.884597778320312 | [ACC]:900.0
2023-05-31 22:31:20,755 -  [LOSS]] : 26.341930389404297 | [ACC]:900.0
2023-05-31 22:31:21,075 -  [LOSS]] : 25.90477752685547 | [ACC]:900.0
2023-05-31 22:31:21,421 -  [LOSS]] : 26.367530822753906 | [ACC]:900.0
2023-05-31 22:31:21,752 -  [LOSS]] : 26.154399871826172 | [ACC]:900.0
2023-05-31 22:31:22,074 -  [LOSS]] : 27.13268280029297 | [ACC]:900.0
2023-05-31 22:31:22,407 -  [LOSS]] : 26.044391632080078 | [ACC]:900.0
2023-05-31 22:31:22,766 -  [LOSS]] : 27.66587257385254 | [ACC]:900.0
2023-05-31 22:31:23,172 -  [LOSS]] : 26.179306030273438 | [ACC]:900.0
2023-05-31 22:31:23,584 -  [LOSS]] : 27.246532440185547 | [ACC]:900.0
2023-05-31 22:31:23,950 -  [LOSS]] : 26.21057891845703 | [ACC]:900.0
2023-05-31 22:31:24,391 -  [LOSS]] : 26.579071044921875 | [ACC]:900.0
2023-05-31 22:31:24,723 -  [LOSS]] : 26.50609588623047 | [ACC]:900.0
2023-05-31 22:31:25,049 -  [LOSS]] : 26.42112159729004 | [ACC]:900.0
2023-05-31 22:31:25,401 -  [LOSS]] : 26.379356384277344 | [ACC]:900.0
2023-05-31 22:31:25,744 -  [LOSS]] : 26.34834861755371 | [ACC]:900.0
2023-05-31 22:31:26,064 -  [LOSS]] : 25.70437240600586 | [ACC]:900.0
2023-05-31 22:31:26,413 -  [LOSS]] : 26.23360824584961 | [ACC]:900.0
2023-05-31 22:31:26,758 -  [LOSS]] : 26.355073928833008 | [ACC]:900.0
2023-05-31 22:31:27,082 -  [LOSS]] : 26.057315826416016 | [ACC]:900.0
2023-05-31 22:31:27,440 -  [LOSS]] : 26.773456573486328 | [ACC]:900.0
2023-05-31 22:31:27,772 -  [LOSS]] : 26.06740379333496 | [ACC]:900.0
2023-05-31 22:31:28,101 -  [LOSS]] : 26.340526580810547 | [ACC]:900.0
2023-05-31 22:31:28,451 -  [LOSS]] : 26.34600257873535 | [ACC]:900.0
2023-05-31 22:31:28,823 -  [LOSS]] : 26.158220291137695 | [ACC]:900.0
2023-05-31 22:31:29,162 -  [LOSS]] : 26.479415893554688 | [ACC]:900.0
2023-05-31 22:31:29,514 -  [LOSS]] : 26.165361404418945 | [ACC]:900.0
2023-05-31 22:31:29,941 -  [LOSS]] : 26.260950088500977 | [ACC]:900.0
2023-05-31 22:31:30,278 -  [LOSS]] : 26.138980865478516 | [ACC]:900.0
2023-05-31 22:31:30,606 -  [LOSS]] : 26.110326766967773 | [ACC]:900.0
2023-05-31 22:31:30,939 -  [LOSS]] : 26.128498077392578 | [ACC]:900.0
2023-05-31 22:31:31,254 -  [LOSS]] : 25.986818313598633 | [ACC]:900.0
2023-05-31 22:31:31,631 -  [LOSS]] : 26.22317123413086 | [ACC]:900.0
2023-05-31 22:31:31,964 -  [LOSS]] : 26.08321189880371 | [ACC]:900.0
2023-05-31 22:31:32,298 -  [LOSS]] : 26.03569793701172 | [ACC]:900.0
2023-05-31 22:31:32,640 -  [LOSS]] : 25.852415084838867 | [ACC]:900.0
2023-05-31 22:31:32,987 -  [LOSS]] : 26.100284576416016 | [ACC]:900.0
2023-05-31 22:31:33,405 -  [LOSS]] : 26.034330368041992 | [ACC]:900.0
2023-05-31 22:31:33,763 -  [LOSS]] : 26.14713478088379 | [ACC]:900.0
2023-05-31 22:31:34,087 -  [LOSS]] : 26.19191551208496 | [ACC]:900.0
2023-05-31 22:31:34,444 -  [LOSS]] : 26.10538101196289 | [ACC]:900.0
2023-05-31 22:31:34,791 -  [LOSS]] : 26.219371795654297 | [ACC]:900.0
2023-05-31 22:31:35,125 -  [LOSS]] : 26.00389862060547 | [ACC]:900.0
2023-05-31 22:31:59,050 - Namespace(batch_size=4, epochs=10, learning_rate=0.001, print_freq=1, project_name='Project1')
2023-05-31 22:32:05,414 -  [LOSS]] : 27.752307891845703 | [ACC]:900.0
2023-05-31 22:32:05,727 -  [LOSS]] : 31.765724182128906 | [ACC]:900.0
2023-05-31 22:32:06,049 -  [LOSS]] : 34.58899688720703 | [ACC]:900.0
2023-05-31 22:32:06,362 -  [LOSS]] : 40.50041198730469 | [ACC]:900.0
2023-05-31 22:32:06,671 -  [LOSS]] : 32.48613357543945 | [ACC]:900.0
2023-05-31 22:32:06,997 -  [LOSS]] : 34.04755401611328 | [ACC]:900.0
2023-05-31 22:32:07,317 -  [LOSS]] : 35.033477783203125 | [ACC]:900.0
2023-05-31 22:32:07,643 -  [LOSS]] : 37.20688247680664 | [ACC]:900.0
2023-05-31 22:32:07,954 -  [LOSS]] : 43.172149658203125 | [ACC]:900.0
2023-05-31 22:32:08,265 -  [LOSS]] : 44.7667236328125 | [ACC]:900.0
2023-05-31 22:32:08,585 -  [LOSS]] : 57.9649543762207 | [ACC]:900.0
2023-05-31 22:32:08,895 -  [LOSS]] : 45.259700775146484 | [ACC]:900.0
2023-05-31 22:32:09,207 -  [LOSS]] : 55.54713821411133 | [ACC]:900.0
2023-05-31 22:32:09,518 -  [LOSS]] : 64.93292999267578 | [ACC]:900.0
2023-05-31 22:32:09,840 -  [LOSS]] : 53.54632568359375 | [ACC]:900.0
2023-05-31 22:32:10,167 -  [LOSS]] : 58.525108337402344 | [ACC]:900.0
2023-05-31 22:32:10,484 -  [LOSS]] : 46.43202209472656 | [ACC]:900.0
2023-05-31 22:32:10,790 -  [LOSS]] : 62.46921920776367 | [ACC]:900.0
2023-05-31 22:32:11,090 -  [LOSS]] : 70.66722869873047 | [ACC]:900.0
2023-05-31 22:32:11,386 -  [LOSS]] : 63.394168853759766 | [ACC]:900.0
2023-05-31 22:32:11,686 -  [LOSS]] : 56.864173889160156 | [ACC]:900.0
2023-05-31 22:32:12,004 -  [LOSS]] : 51.07335662841797 | [ACC]:900.0
2023-05-31 22:32:12,323 -  [LOSS]] : 49.77092361450195 | [ACC]:900.0
2023-05-31 22:32:12,616 -  [LOSS]] : 45.9298095703125 | [ACC]:900.0
2023-05-31 22:32:12,932 -  [LOSS]] : 45.26318359375 | [ACC]:900.0
2023-05-31 22:32:13,239 -  [LOSS]] : 47.6490592956543 | [ACC]:900.0
2023-05-31 22:32:13,555 -  [LOSS]] : 49.3919677734375 | [ACC]:900.0
2023-05-31 22:32:13,856 -  [LOSS]] : 46.47887420654297 | [ACC]:900.0
2023-05-31 22:32:14,181 -  [LOSS]] : 47.770111083984375 | [ACC]:900.0
2023-05-31 22:32:14,488 -  [LOSS]] : 55.226993560791016 | [ACC]:900.0
2023-05-31 22:32:14,816 -  [LOSS]] : 46.96167755126953 | [ACC]:900.0
2023-05-31 22:32:15,138 -  [LOSS]] : 45.723392486572266 | [ACC]:900.0
2023-05-31 22:32:15,442 -  [LOSS]] : 47.74587631225586 | [ACC]:900.0
2023-05-31 22:32:15,758 -  [LOSS]] : 60.174461364746094 | [ACC]:900.0
2023-05-31 22:32:16,058 -  [LOSS]] : 53.14057159423828 | [ACC]:900.0
2023-05-31 22:32:16,363 -  [LOSS]] : 48.61007308959961 | [ACC]:900.0
2023-05-31 22:32:16,688 -  [LOSS]] : 63.41489028930664 | [ACC]:900.0
2023-05-31 22:32:17,018 -  [LOSS]] : 53.36821746826172 | [ACC]:900.0
2023-05-31 22:32:17,325 -  [LOSS]] : 54.38011932373047 | [ACC]:900.0
2023-05-31 22:32:17,629 -  [LOSS]] : 68.3709487915039 | [ACC]:900.0
2023-05-31 22:32:17,953 -  [LOSS]] : 74.2938232421875 | [ACC]:900.0
2023-05-31 22:32:18,272 -  [LOSS]] : 48.68565368652344 | [ACC]:900.0
2023-05-31 22:32:18,587 -  [LOSS]] : 57.32184600830078 | [ACC]:900.0
2023-05-31 22:32:18,899 -  [LOSS]] : 43.531700134277344 | [ACC]:900.0
2023-05-31 22:32:19,223 -  [LOSS]] : 68.03392028808594 | [ACC]:900.0
2023-05-31 22:32:19,553 -  [LOSS]] : 56.18994140625 | [ACC]:900.0
2023-05-31 22:32:19,879 -  [LOSS]] : 68.94715881347656 | [ACC]:900.0
2023-05-31 22:32:20,200 -  [LOSS]] : 63.698097229003906 | [ACC]:900.0
2023-05-31 22:32:20,510 -  [LOSS]] : 59.234989166259766 | [ACC]:900.0
2023-05-31 22:32:20,809 -  [LOSS]] : 46.996822357177734 | [ACC]:900.0
2023-05-31 22:32:21,126 -  [LOSS]] : 65.33415985107422 | [ACC]:900.0
2023-05-31 22:32:21,437 -  [LOSS]] : 44.66442108154297 | [ACC]:900.0
2023-05-31 22:32:21,754 -  [LOSS]] : 63.01263427734375 | [ACC]:900.0
2023-05-31 22:32:22,066 -  [LOSS]] : 74.22747039794922 | [ACC]:900.0
